Date Time,Month,Day,Day of Week,Hour,Minute,Site Outdoor Air Drybulb Temperature,Site Outdoor Air Relative Humidity,HeatingElectricity,HeatingGas,CoolingElectricity,ElectricityFacility,GasFacility,HeatingTotal
01/01/2006 01:00,1,1,0,1,0,2.275,74.6667,0,1.54754e+08,45162.1,9.44102e+07,1.54754e+08,154754000.0
01/01/2006 02:00,1,1,0,2,0,1.49167,65.0833,0,1.33195e+08,87750,9.688e+07,1.33195e+08,133195000.0
01/01/2006 03:00,1,1,0,3,0,0.85,65.3333,0,1.98388e+08,142245,1.00719e+08,1.99929e+08,198388000.0
01/01/2006 04:00,1,1,0,4,0,0.425,67,0,1.43376e+08,201110,9.9506e+07,1.43376e+08,143376000.0
01/01/2006 05:00,1,1,0,5,0,0.0666667,65.25,0,2.00566e+08,100753,1.03503e+08,2.11834e+08,200566000.0
01/01/2006 06:00,1,1,0,6,0,-0.158333,64.5833,0,1.53449e+08,84139.4,9.90469e+07,1.60883e+08,153449000.0
01/01/2006 07:00,1,1,0,7,0,-0.2,63.8333,0,1.67879e+08,106246,1.1933e+08,1.77171e+08,167879000.0
01/01/2006 08:00,1,1,0,8,0,-0.141667,64.1667,0,1.24792e+08,29268.7,9.26909e+07,1.32557e+08,124792000.0
01/01/2006 09:00,1,1,0,9,0,-0.0416667,66.1667,0,1.361e+08,53512.8,7.52596e+07,1.45064e+08,136100000.0
01/01/2006 10:00,1,1,0,10,0,0,68.75,0,9.912e+07,44302.7,7.08557e+07,1.07421e+08,99120000.0
01/01/2006 11:00,1,1,0,11,0,0.175,71.75,0,1.32768e+08,82244,7.38568e+07,1.42436e+08,132768000.0
01/01/2006 12:00,1,1,0,12,0,0.3,71.25,0,9.09564e+07,70529.9,7.03934e+07,9.90506e+07,90956400.0
01/01/2006 13:00,1,1,0,13,0,0.125,71.75,0,1.09999e+08,64327.4,7.31822e+07,1.19635e+08,109999000.0
01/01/2006 14:00,1,1,0,14,0,0,72.4167,0,7.10533e+07,91690.2,7.06916e+07,8.2053e+07,71053300.0
01/01/2006 15:00,1,1,0,15,0,0.0583333,73.75,0,9.65348e+07,53621.6,7.33862e+07,1.05576e+08,96534800.0
01/01/2006 16:00,1,1,0,16,0,0.216667,76.1667,0,1.05427e+08,39494.7,7.20748e+07,1.15043e+08,105427000.0
01/01/2006 17:00,1,1,0,17,0,0.358333,78.1667,0,1.26853e+08,39637.4,8.25856e+07,1.34509e+08,126853000.0
01/01/2006 18:00,1,1,0,18,0,0.575,80.1667,0,9.33703e+07,27134.2,1.15028e+08,1.02587e+08,93370300.0
01/01/2006 19:00,1,1,0,19,0,0.933333,82.75,0,1.20977e+08,35368.6,1.08946e+08,1.28583e+08,120977000.0
01/01/2006 20:00,1,1,0,20,0,1.275,84,0,1.06351e+08,37892.3,1.06491e+08,1.0818e+08,106351000.0
01/01/2006 21:00,1,1,0,21,0,1.63333,85.1667,0,1.29421e+08,36099.4,1.08932e+08,1.29421e+08,129421000.0
01/01/2006 22:00,1,1,0,22,0,1.975,85.4167,0,1.06171e+08,35880.5,1.06481e+08,1.07711e+08,106171000.0
01/01/2006 23:00,1,1,0,23,0,2.21667,85,0,1.36897e+08,36161.8,1.08945e+08,1.36897e+08,136897000.0
01/02/2006 00:00,1,2,1,0,0,2.59167,84.4167,0,1.07725e+08,38751.4,1.06489e+08,1.09266e+08,107725000.0
01/02/2006 01:00,1,2,1,1,0,2.85833,84,0,1.31854e+08,41763.5,1.0736e+08,1.31854e+08,131854000.0
01/02/2006 02:00,1,2,1,2,0,2.95833,85.75,0,9.9423e+07,23451.7,1.04896e+08,9.9423e+07,99423000.0
01/02/2006 03:00,1,2,1,3,0,3.175,82.9167,0,1.31106e+08,36903.8,1.09462e+08,1.32647e+08,131106000.0
01/02/2006 04:00,1,2,1,4,0,3.475,78.25,1.25709e+06,7.44414e+08,280733,1.43166e+08,7.51967e+08,745671090.0
01/02/2006 05:00,1,2,1,5,0,3.83333,79.3333,26799.9,8.76385e+08,151040,1.59196e+08,8.85967e+08,876411799.9
01/02/2006 06:00,1,2,1,6,0,3.70833,82.1667,0,2.83704e+07,210777,2.50959e+08,4.30715e+07,28370400.0
01/02/2006 07:00,1,2,1,7,0,3.61667,82.4167,297827,5.03135e+08,172385,4.45358e+08,5.24187e+08,503432827.0
01/02/2006 08:00,1,2,1,8,0,3.875,80.8333,0,3.19114e+08,0,4.73326e+08,3.41681e+08,319114000.0
01/02/2006 09:00,1,2,1,9,0,4.58333,77.0833,0,2.44414e+08,0,4.52061e+08,2.69548e+08,244414000.0
01/02/2006 10:00,1,2,1,10,0,5.23333,72.6667,0,2.68862e+08,0,4.2495e+08,2.99376e+08,268862000.0
01/02/2006 11:00,1,2,1,11,0,5.98333,66.9167,0,1.57225e+08,384160,4.10363e+08,1.87106e+08,157225000.0
01/02/2006 12:00,1,2,1,12,0,7.15833,62.8333,0,7.97995e+07,545169,4.07289e+08,1.04006e+08,79799500.0
01/02/2006 13:00,1,2,1,13,0,8.51667,69,0,5.95903e+07,266862,4.02113e+08,8.33848e+07,59590300.0
01/02/2006 14:00,1,2,1,14,0,9.33333,79.25,0,1.46932e+08,0,2.65973e+08,1.65603e+08,146932000.0
01/02/2006 15:00,1,2,1,15,0,10.4333,78.3333,0,1.70218e+08,6430.64,1.64301e+08,1.87588e+08,170218000.0
01/02/2006 16:00,1,2,1,16,0,11.3917,73.8333,0,1.98277e+08,68878.3,1.52911e+08,2.11954e+08,198277000.0
01/02/2006 17:00,1,2,1,17,0,10.6667,78.25,0,1.75116e+08,35827.7,1.51515e+08,1.88737e+08,175116000.0
01/02/2006 18:00,1,2,1,18,0,10.0583,82,0,2.41473e+08,226555,1.82933e+08,2.5183e+08,241473000.0
01/02/2006 19:00,1,2,1,19,0,10.625,80.25,0,43560.3,10167.7,1.3465e+08,9.84644e+06,43560.3
01/02/2006 20:00,1,2,1,20,0,10.3583,83.6667,0,0,0,1.14451e+08,9.28083e+06,0.0
01/02/2006 21:00,1,2,1,21,0,9.84167,88.1667,0,0,0,1.11348e+08,7.95981e+06,0.0
01/02/2006 22:00,1,2,1,22,0,9.45,91.3333,0,0,0,1.09916e+08,7.48125e+06,0.0
01/02/2006 23:00,1,2,1,23,0,9.14167,93.5833,0,0,0,1.08203e+08,7.36327e+06,0.0
01/03/2006 00:00,1,3,2,0,0,9.33333,93.4167,0,0,0,1.06481e+08,0,0.0
01/03/2006 01:00,1,3,2,1,0,10.4333,91.25,0,0,0,9.1573e+07,1.54045e+06,0.0
01/03/2006 02:00,1,3,2,2,0,11.3333,89.4167,0,0,0,9.1573e+07,0,0.0
01/03/2006 03:00,1,3,2,3,0,11.5,89.5833,0,0,0,9.35811e+07,442664,0.0
01/03/2006 04:00,1,3,2,4,0,10.625,91.75,133191,3.50811e+08,345022,1.35265e+08,3.59349e+08,350944191.0
01/03/2006 05:00,1,3,2,5,0,9.76667,94.75,0,2.66181e+08,144772,1.52835e+08,2.75526e+08,266181000.0
01/03/2006 06:00,1,3,2,6,0,9.54167,95.4167,0,228722,59441.4,2.50751e+08,1.52394e+07,228722.0
01/03/2006 07:00,1,3,2,7,0,10.025,95,0,1.14648e+08,293499,4.43097e+08,1.355e+08,114648000.0
01/03/2006 08:00,1,3,2,8,0,10.6917,93.8333,0,4.79544e+07,557980,4.72393e+08,7.05465e+07,47954400.0
01/03/2006 09:00,1,3,2,9,0,11.3083,91.25,0,2.62545e+07,522621,4.35477e+08,5.16696e+07,26254500.0
01/03/2006 10:00,1,3,2,10,0,11.075,91.75,0,3.91478e+07,37166.4,4.11852e+08,6.94744e+07,39147800.0
01/03/2006 11:00,1,3,2,11,0,11.1083,91.25,0,1.49035e+07,1.70989e+06,4.09036e+08,4.51589e+07,14903500.0
01/03/2006 12:00,1,3,2,12,0,11.5167,89.4167,0,6.26744e+06,4.0652e+06,4.13472e+08,3.01684e+07,6267440.0
01/03/2006 13:00,1,3,2,13,0,11.95,87.8333,0,4.67149e+06,4.83678e+06,4.0906e+08,2.83725e+07,4671490.0
01/03/2006 14:00,1,3,2,14,0,13.25,84.0833,0,2.11939e+07,2.23187e+06,2.68191e+08,4.02298e+07,21193900.0
01/03/2006 15:00,1,3,2,15,0,14.1167,81.4167,0,1.10129e+07,1.88045e+06,1.67818e+08,2.83854e+07,11012900.0
01/03/2006 16:00,1,3,2,16,0,15.4833,77.5,0,9.21656e+06,2.04268e+06,1.46728e+08,2.28941e+07,9216560.0
01/03/2006 17:00,1,3,2,17,0,17.45,69.1667,0,1.37893e+07,1.0842e+07,1.54241e+08,2.74166e+07,13789300.0
01/03/2006 18:00,1,3,2,18,0,18.025,66.1667,0,1.56948e+07,1.25494e+07,1.77935e+08,2.60608e+07,15694800.0
01/03/2006 19:00,1,3,2,19,0,16.6167,72.25,0,4.22985e+06,6.14953e+06,1.42134e+08,1.40277e+07,4229850.0
01/03/2006 20:00,1,3,2,20,0,15.4083,76.5833,0,0,0,1.14451e+08,8.75506e+06,0.0
01/03/2006 21:00,1,3,2,21,0,14.2667,79.9167,0,0,0,1.11348e+08,8.48288e+06,0.0
01/03/2006 22:00,1,3,2,22,0,13.8917,82,0,0,0,1.09916e+08,7.48127e+06,0.0
01/03/2006 23:00,1,3,2,23,0,13.8083,83.75,0,0,0,1.08203e+08,7.36291e+06,0.0
01/04/2006 00:00,1,4,3,0,0,14.475,82.0833,0,0,0,1.06481e+08,0,0.0
01/04/2006 01:00,1,4,3,1,0,12.9417,85.8333,0,0,0,9.1573e+07,1.54079e+06,0.0
01/04/2006 02:00,1,4,3,2,0,11.6333,91.75,0,0,0,9.1573e+07,0,0.0
01/04/2006 03:00,1,4,3,3,0,10.8083,95.3333,0,0,0,9.35811e+07,0,0.0
01/04/2006 04:00,1,4,3,4,0,10.6833,95.8333,8860.09,1.63125e+08,299070,1.32393e+08,1.71795e+08,163133860.09
01/04/2006 05:00,1,4,3,5,0,11.2167,95,0,1.27544e+08,216199,1.46304e+08,1.37593e+08,127544000.0
01/04/2006 06:00,1,4,3,6,0,11.1833,94.4167,0,60496.1,41726.1,2.50733e+08,1.42715e+07,60496.1
01/04/2006 07:00,1,4,3,7,0,11.45,94.5833,0,4.65159e+07,456280,4.44575e+08,6.80209e+07,46515900.0
01/04/2006 08:00,1,4,3,8,0,11.8167,94.4167,0,9.09341e+06,1.24636e+06,4.77876e+08,3.16902e+07,9093410.0
01/04/2006 09:00,1,4,3,9,0,11.2583,94.5833,0,4.38589e+06,2.53301e+06,4.45171e+08,2.91703e+07,4385890.0
01/04/2006 10:00,1,4,3,10,0,14.0667,84.5,0,1.54078e+06,1.28871e+07,4.24521e+08,3.23662e+07,1540780.0
01/04/2006 11:00,1,4,3,11,0,16.4,77.5833,0,0,5.76128e+07,4.76923e+08,2.99942e+07,0.0
01/04/2006 12:00,1,4,3,12,0,18.7333,68.0833,0,0,1.41109e+08,5.77802e+08,2.42695e+07,0.0
01/04/2006 13:00,1,4,3,13,0,21.6833,54.5833,0,0,1.98349e+08,6.3227e+08,2.37197e+07,0.0
01/04/2006 14:00,1,4,3,14,0,21.9,50.5833,0,0,1.74413e+08,4.57753e+08,1.88294e+07,0.0
01/04/2006 15:00,1,4,3,15,0,21.05,52.75,0,143966,1.14976e+08,3.02943e+08,1.75305e+07,143966.0
01/04/2006 16:00,1,4,3,16,0,19.925,56.9167,0,10988.4,8.6879e+07,2.5169e+08,1.36924e+07,10988.4
01/04/2006 17:00,1,4,3,17,0,18.6,61.3333,0,675330,4.38009e+07,2.00108e+08,1.43019e+07,675330.0
01/04/2006 18:00,1,4,3,18,0,17.1083,65.9167,0,3.40728e+06,2.77498e+07,2.08391e+08,1.37702e+07,3407280.0
01/04/2006 19:00,1,4,3,19,0,15.4083,75,0,0,3.62361e+06,1.47853e+08,9.80422e+06,0.0
01/04/2006 20:00,1,4,3,20,0,13.3583,85.25,0,0,0,1.22413e+08,9.28149e+06,0.0
01/04/2006 21:00,1,4,3,21,0,12.8083,89.5833,0,0,0,1.15577e+08,7.97351e+06,0.0
01/04/2006 22:00,1,4,3,22,0,11.8167,92.3333,0,0,0,1.15951e+08,7.4907e+06,0.0
01/04/2006 23:00,1,4,3,23,0,10.9,95.75,0,0,0,1.11341e+08,7.36884e+06,0.0
01/05/2006 00:00,1,5,4,0,0,10.4917,98.1667,0,0,0,1.11375e+08,0,0.0
01/05/2006 01:00,1,5,4,1,0,10.0833,99.5833,0,0,0,9.65002e+07,1.54073e+06,0.0
01/05/2006 02:00,1,5,4,2,0,10,100,0,0,0,9.63988e+07,0,0.0
01/05/2006 03:00,1,5,4,3,0,10.0583,100,0,0,0,9.84699e+07,0,0.0
01/05/2006 04:00,1,5,4,4,0,9.98333,100,7369.22,1.12808e+08,272562,1.29969e+08,1.21565e+08,112815369.22
01/05/2006 05:00,1,5,4,5,0,9.78333,100,0,9.44368e+07,137228,1.43966e+08,1.04487e+08,94436800.0
01/05/2006 06:00,1,5,4,6,0,10.3417,100,0,125752,85202.1,2.50777e+08,1.4338e+07,125752.0
01/05/2006 07:00,1,5,4,7,0,11.9667,100,0,3.55312e+07,521979,4.4578e+08,5.71086e+07,35531200.0
01/05/2006 08:00,1,5,4,8,0,12.6833,100,0,7.28907e+06,1.55252e+06,4.78517e+08,2.99051e+07,7289070.0
01/05/2006 09:00,1,5,4,9,0,14.175,97.6667,0,2.26168e+06,8.39999e+06,4.48682e+08,2.70453e+07,2261680.0
01/05/2006 10:00,1,5,4,10,0,16.2917,94.8333,0,1.49371e+06,4.41239e+07,4.59687e+08,3.23524e+07,1493710.0
01/05/2006 11:00,1,5,4,11,0,15.6583,95.1667,0,13003.9,3.48661e+07,4.49355e+08,3.01225e+07,13003.9
01/05/2006 12:00,1,5,4,12,0,15.4583,93.0833,0,0,3.23178e+07,4.55554e+08,2.41701e+07,0.0
01/05/2006 13:00,1,5,4,13,0,17.6917,81.0833,0,0,9.62145e+07,5.11235e+08,2.37182e+07,0.0
01/05/2006 14:00,1,5,4,14,0,20.3583,64.6667,0,0,1.39933e+08,4.18575e+08,1.90004e+07,0.0
01/05/2006 15:00,1,5,4,15,0,21.4583,55.0833,0,228189,9.44109e+07,2.71317e+08,1.76134e+07,228189.0
01/05/2006 16:00,1,5,4,16,0,20.8,55.3333,0,13106.6,6.86809e+07,2.24099e+08,1.37008e+07,13106.6
01/05/2006 17:00,1,5,4,17,0,19.1917,61.6667,0,997786,4.01219e+07,1.88576e+08,1.46347e+07,997786.0
01/05/2006 18:00,1,5,4,18,0,16.3583,71.4167,0,5.50276e+06,1.60373e+07,1.89484e+08,1.58699e+07,5502760.0
01/05/2006 19:00,1,5,4,19,0,14.2,78.3333,0,348477,0,1.41874e+08,1.01583e+07,348477.0
01/05/2006 20:00,1,5,4,20,0,14.4,78.25,0,0,0,1.23983e+08,9.06905e+06,0.0
01/05/2006 21:00,1,5,4,21,0,15.3083,74.6667,0,0,1.66787e+06,1.19241e+08,8.18808e+06,0.0
01/05/2006 22:00,1,5,4,22,0,15.25,72.4167,0,0,2.33825e+06,1.1723e+08,7.48562e+06,0.0
01/05/2006 23:00,1,5,4,23,0,15.2917,55.6667,0,0,1.43983e+06,1.16409e+08,7.37188e+06,0.0
01/06/2006 00:00,1,6,5,0,0,13.2833,64.4167,0,0,0,1.12227e+08,0,0.0
01/06/2006 01:00,1,6,5,1,0,12.6333,58.5833,0,0,0,9.72214e+07,1.54047e+06,0.0
01/06/2006 02:00,1,6,5,2,0,13.0083,43.4167,0,0,0,9.63853e+07,0,0.0
01/06/2006 03:00,1,6,5,3,0,12.8,40.6667,0,0,0,9.69365e+07,0,0.0
01/06/2006 04:00,1,6,5,4,0,12.2167,39.5833,0,9.08589e+07,180703,1.31297e+08,9.95858e+07,90858900.0
01/06/2006 05:00,1,6,5,5,0,10.75,44.0833,0,1.13122e+08,201256,1.44171e+08,1.2318e+08,113122000.0
01/06/2006 06:00,1,6,5,6,0,9.94167,46.4167,0,55499.3,67326.3,2.50759e+08,1.42745e+07,55499.3
01/06/2006 07:00,1,6,5,7,0,9.49167,47.1667,0,5.156e+07,243535,4.4568e+08,7.31463e+07,51560000.0
01/06/2006 08:00,1,6,5,8,0,9.2,46.8333,0,1.46794e+07,519913,4.74689e+08,3.73157e+07,14679400.0
01/06/2006 09:00,1,6,5,9,0,10.075,42.5,0,3.05409e+06,1.96595e+06,4.31413e+08,2.79054e+07,3054090.0
01/06/2006 10:00,1,6,5,10,0,10.9917,40.5833,0,2.18672e+06,3.6617e+06,4.16722e+08,3.30226e+07,2186720.0
01/06/2006 11:00,1,6,5,11,0,11.725,37.5,0,320720,7.35125e+06,4.30893e+08,3.06561e+07,320720.0
01/06/2006 12:00,1,6,5,12,0,12.9167,28,0,0,9.85259e+06,4.48072e+08,2.39108e+07,0.0
01/06/2006 13:00,1,6,5,13,0,14.3167,23.5833,0,0,1.87039e+07,4.51633e+08,2.37624e+07,0.0
01/06/2006 14:00,1,6,5,14,0,15.075,24,0,0,2.39806e+07,3.07408e+08,1.92224e+07,0.0
01/06/2006 15:00,1,6,5,15,0,15.3167,23.4167,0,397291,1.12694e+07,1.89842e+08,1.77717e+07,397291.0
01/06/2006 16:00,1,6,5,16,0,15.225,24.1667,0,1.95566e+06,7.63517e+06,1.68215e+08,1.56628e+07,1955660.0
01/06/2006 17:00,1,6,5,17,0,14.4,24.4167,0,5.58488e+06,3.02308e+06,1.57578e+08,1.92249e+07,5584880.0
01/06/2006 18:00,1,6,5,18,0,12.15,30.4167,0,1.83881e+07,83968.2,1.75441e+08,2.87496e+07,18388100.0
01/06/2006 19:00,1,6,5,19,0,10.6667,36.1667,0,0,0,1.42775e+08,9.80801e+06,0.0
01/06/2006 20:00,1,6,5,20,0,10.0333,37.5833,0,0,0,1.21853e+08,8.82048e+06,0.0
01/06/2006 21:00,1,6,5,21,0,9.05833,38.5833,0,0,0,1.17379e+08,8.43669e+06,0.0
01/06/2006 22:00,1,6,5,22,0,8.075,39.5833,0,0,0,1.15933e+08,7.48908e+06,0.0
01/06/2006 23:00,1,6,5,23,0,7.23333,41.1667,0,0,0,1.13886e+08,7.37267e+06,0.0
01/07/2006 00:00,1,7,6,0,0,6.60833,43.75,0,0,0,1.11304e+08,0,0.0
01/07/2006 01:00,1,7,6,1,0,6.225,46.1667,0,0,0,8.08986e+07,1.54079e+06,0.0
01/07/2006 02:00,1,7,6,2,0,5.98333,48.1667,0,0,0,8.40793e+07,0,0.0
01/07/2006 03:00,1,7,6,3,0,5.725,50.1667,0,0,0,7.93297e+07,0,0.0
01/07/2006 04:00,1,7,6,4,0,5.30833,49.8333,0,1.24716e+06,0,8.20887e+07,2.78795e+06,1247160.0
01/07/2006 05:00,1,7,6,5,0,4.86667,50.1667,0,2.75933e+06,0,8.43565e+07,2.75933e+06,2759330.0
01/07/2006 06:00,1,7,6,6,0,4.35,49.25,0,1.95076e+06,0,9.67996e+07,1.02673e+07,1950760.0
01/07/2006 07:00,1,7,6,7,0,3.925,48.5833,332935,3.14274e+08,307844,1.48887e+08,3.24252e+08,314606935.0
01/07/2006 08:00,1,7,6,8,0,3.45,47.25,0,2.93489e+08,0,1.71673e+08,3.06217e+08,293489000.0
01/07/2006 09:00,1,7,6,9,0,3.025,44.8333,0,2.57028e+08,0,1.7952e+08,2.70626e+08,257028000.0
01/07/2006 10:00,1,7,6,10,0,3.01667,42.25,0,1.65492e+08,87539.4,1.89955e+08,1.80768e+08,165492000.0
01/07/2006 11:00,1,7,6,11,0,3.21667,39.8333,0,1.27127e+08,339387,1.79594e+08,1.43434e+08,127127000.0
01/07/2006 12:00,1,7,6,12,0,4.175,35.5,0,1.21676e+08,1.19467e+06,1.70811e+08,1.37552e+08,121676000.0
01/07/2006 13:00,1,7,6,13,0,5.325,31.8333,0,1.09918e+08,1.68762e+06,1.50769e+08,1.26217e+08,109918000.0
01/07/2006 14:00,1,7,6,14,0,6.16667,29.8333,0,7.40197e+07,1.97059e+06,1.24316e+08,8.82235e+07,74019700.0
01/07/2006 15:00,1,7,6,15,0,6.38333,26.6667,0,1.04305e+08,931880,1.13879e+08,1.17768e+08,104305000.0
01/07/2006 16:00,1,7,6,16,0,5.775,23.25,0,1.04744e+08,873789,1.1784e+08,1.17868e+08,104744000.0
01/07/2006 17:00,1,7,6,17,0,4.75833,22,0,1.28254e+08,297525,1.12841e+08,1.41264e+08,128254000.0
01/07/2006 18:00,1,7,6,18,0,3.83333,23.1667,0,130092,2631.57,1.15036e+08,1.02034e+07,130092.0
01/07/2006 19:00,1,7,6,19,0,3.15,25.1667,0,674150,0,1.04759e+08,9.50165e+06,674150.0
01/07/2006 20:00,1,7,6,20,0,2.55,27.75,0,2.31554e+06,0,1.01426e+08,8.77908e+06,2315540.0
01/07/2006 21:00,1,7,6,21,0,1.89167,30.1667,0,5.83681e+06,7057.55,1.06135e+08,5.83681e+06,5836810.0
01/07/2006 22:00,1,7,6,22,0,1.25,32.1667,0,5.9693e+06,14785.9,1.04175e+08,7.51008e+06,5969300.0
01/07/2006 23:00,1,7,6,23,0,0.533333,35.9167,0,1.41234e+07,11942.8,1.07191e+08,1.41234e+07,14123400.0
01/08/2006 00:00,1,8,0,0,0,-0.208333,39.75,0,1.74981e+07,24025.4,1.04605e+08,1.74981e+07,17498100.0
01/08/2006 01:00,1,8,0,1,0,-0.791667,43.9167,0,3.81546e+07,22996.2,9.4751e+07,3.96954e+07,38154600.0
01/08/2006 02:00,1,8,0,2,0,-1.46667,43.6667,0,4.18271e+07,38341.1,9.22867e+07,4.18271e+07,41827100.0
01/08/2006 03:00,1,8,0,3,0,-1.975,40.8333,0,6.72906e+07,23089.9,9.51065e+07,6.72906e+07,67290600.0
01/08/2006 04:00,1,8,0,4,0,-2.39167,42.3333,0,6.28794e+07,52769.8,9.23632e+07,6.44201e+07,62879400.0
01/08/2006 05:00,1,8,0,5,0,-2.71667,45.75,0,9.27784e+07,25861.8,9.51836e+07,1.03913e+08,92778400.0
01/08/2006 06:00,1,8,0,6,0,-2.91667,47,0,9.11069e+07,76919.3,9.62199e+07,9.85336e+07,91106900.0
01/08/2006 07:00,1,8,0,7,0,-3.05833,48.1667,0,9.89941e+07,26434.1,1.15105e+08,1.08406e+08,98994100.0
01/08/2006 08:00,1,8,0,8,0,-2.98333,49.5833,0,7.70856e+07,54740.4,9.23826e+07,8.47182e+07,77085600.0
01/08/2006 09:00,1,8,0,9,0,-2.375,47.6667,0,5.20964e+07,24317.2,7.23174e+07,6.14485e+07,52096400.0
01/08/2006 10:00,1,8,0,10,0,-1.18333,43.6667,0,2.27085e+07,8113.8,6.81017e+07,3.06257e+07,22708500.0
01/08/2006 11:00,1,8,0,11,0,0.275,39.6667,0,2.07296e+07,6593.84,7.05501e+07,3.04056e+07,20729600.0
01/08/2006 12:00,1,8,0,12,0,1.48333,36.8333,0,1.10548e+07,144513,7.0647e+07,1.97489e+07,11054800.0
01/08/2006 13:00,1,8,0,13,0,2.6,34.8333,0,9.12755e+06,594822,7.6115e+07,1.84293e+07,9127550.0
01/08/2006 14:00,1,8,0,14,0,3.56667,33.4167,0,6.16091e+06,0,6.82661e+07,1.77319e+07,6160910.0
01/08/2006 15:00,1,8,0,15,0,4.36667,32.4167,0,1.11786e+07,0,7.00756e+07,1.95196e+07,11178600.0
01/08/2006 16:00,1,8,0,16,0,4.525,31.4167,0,1.08356e+07,3446.32,6.89403e+07,2.03635e+07,10835600.0
01/08/2006 17:00,1,8,0,17,0,3.75833,32.1667,0,1.63739e+07,3924.11,7.96376e+07,2.43379e+07,16373900.0
01/08/2006 18:00,1,8,0,18,0,3.00833,33.5833,0,2.25953e+07,14333.9,1.12578e+08,3.17273e+07,22595300.0
01/08/2006 19:00,1,8,0,19,0,2.74167,35.1667,0,3.9922e+07,21111.6,1.07196e+08,4.73261e+07,39922000.0
01/08/2006 20:00,1,8,0,20,0,2.64167,35.4167,0,2.63539e+07,9599.27,1.04417e+08,2.81869e+07,26353900.0
01/08/2006 21:00,1,8,0,21,0,1.95833,38.5,0,3.97066e+07,9732.76,1.07213e+08,4.12472e+07,39706600.0
01/08/2006 22:00,1,8,0,22,0,1.90833,38.6667,0,4.30842e+07,25208.6,1.04892e+08,4.30842e+07,43084200.0
01/08/2006 23:00,1,8,0,23,0,1.90833,38.75,0,5.88357e+07,29390.4,1.08309e+08,5.88357e+07,58835700.0
01/09/2006 00:00,1,9,1,0,0,1.64167,40.5833,0,6.44273e+07,39639.1,1.05941e+08,6.59678e+07,64427300.0
01/09/2006 01:00,1,9,1,1,0,1.48333,42.1667,0,7.79977e+07,40085.2,1.07091e+08,7.79977e+07,77997700.0
01/09/2006 02:00,1,9,1,2,0,1.51667,44.1667,0,4.8198e+07,27102.5,1.04228e+08,4.8198e+07,48198000.0
01/09/2006 03:00,1,9,1,3,0,1.54167,47.3333,0,6.2643e+07,32617,1.09224e+08,6.41837e+07,62643000.0
01/09/2006 04:00,1,9,1,4,0,1.675,46.6667,903786,6.30923e+08,280674,1.38407e+08,6.38386e+08,631826786.0
01/09/2006 05:00,1,9,1,5,0,1.625,45,28088.6,5.93442e+08,158594,1.54276e+08,6.02949e+08,593470088.6
01/09/2006 06:00,1,9,1,6,0,1.20833,46.1667,0,5.82227e+08,0,2.5184e+08,5.97688e+08,582227000.0
01/09/2006 07:00,1,9,1,7,0,-0.283333,70.3333,0,3.71454e+08,0,4.42979e+08,3.92187e+08,371454000.0
01/09/2006 08:00,1,9,1,8,0,-1.31667,90.5,0,2.80546e+08,0,4.7132e+08,3.0326e+08,280546000.0
01/09/2006 09:00,1,9,1,9,0,-1.225,91.8333,0,2.15453e+08,0,4.26144e+08,2.41433e+08,215453000.0
01/09/2006 10:00,1,9,1,10,0,-1.04167,91.5833,0,2.40736e+08,0,4.04438e+08,2.70764e+08,240736000.0
01/09/2006 11:00,1,9,1,11,0,-0.941667,94.3333,0,1.71067e+08,0,4.13273e+08,2.02195e+08,171067000.0
01/09/2006 12:00,1,9,1,12,0,-0.55,93.6667,0,1.35586e+08,0,4.08328e+08,1.58447e+08,135586000.0
01/09/2006 13:00,1,9,1,13,0,-0.125,92.5833,0,1.39217e+08,10940.7,4.03424e+08,1.63746e+08,139217000.0
01/09/2006 14:00,1,9,1,14,0,0,93.5833,0,2.08547e+08,0,2.66082e+08,2.28524e+08,208547000.0
01/09/2006 15:00,1,9,1,15,0,-0.175,95.75,0,2.09513e+08,91858.9,1.7186e+08,2.25189e+08,209513000.0
01/09/2006 16:00,1,9,1,16,0,-0.241667,97.5833,0,2.83e+08,89074.9,1.63647e+08,2.97479e+08,283000000.0
01/09/2006 17:00,1,9,1,17,0,-0.0833333,99.1667,0,2.62478e+08,160561,1.63901e+08,2.76775e+08,262478000.0
01/09/2006 18:00,1,9,1,18,0,0.175,97.0833,0,3.37403e+08,112749,1.87166e+08,3.47903e+08,337403000.0
01/09/2006 19:00,1,9,1,19,0,0.533333,95,0,1.96386e+06,15626.2,1.4089e+08,1.17538e+07,1963860.0
01/09/2006 20:00,1,9,1,20,0,0.758333,93.8333,0,6.85737e+06,0,1.23763e+08,1.45919e+07,6857370.0
01/09/2006 21:00,1,9,1,21,0,0.741667,93.5833,0,9.15064e+06,0,1.21312e+08,1.86607e+07,9150640.0
01/09/2006 22:00,1,9,1,22,0,0.7,94.5833,0,1.04455e+07,20349,1.23237e+08,1.79224e+07,10445500.0
01/09/2006 23:00,1,9,1,23,0,0.758333,95,0,1.34479e+07,41223.7,1.20052e+08,2.08133e+07,13447900.0
01/10/2006 00:00,1,10,2,0,0,0.8,95.5833,0,2.11825e+07,47774.7,1.21621e+08,2.11825e+07,21182500.0
01/10/2006 01:00,1,10,2,1,0,0.8,97.1667,0,3.42239e+07,31751.6,1.04499e+08,3.42239e+07,34223900.0
